ID;CODE;DRUG-GENERIC1;CONNECTOR1;CATEGORY;CONNECTOR2;CONNECTOR3;OPTIONAL CONNECTOR1;with…..;OPTIONAL CONNECTOR2;CONNECTOR4;FORMULA;CONNECTOR5;DRUG-GENERIC2;CONNECTOR6;COUNTRY;CONNECTOR7;NAMES-TRADE;NAMES-OLD;CONNECTOR8;TEXT for HOW IT MIGHT WORK;REFERENCE1;REFERENCE;COMBINATION_new;DEPOT1_new;DEPOT2_new;COMBINATION;DEPOT1;DEPOT2;Drug-generic (with additions);;;
1;A.III.1 ;Acepromazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;10-[3-(dimethylamino)propyl]phenothiazin-2-yl methyl ketone (maleate);. ;Acepromazine; has been marketed or used in ;United States of America, France, Denmark; under the trade or premarketing names of ;AY 57.062, 1522 CB, Plégicil, Plegicil, Noctran, Mepronizine;NM: AY 57.062 Ayerst, USA NM: 1522 CB Clin Byla, F NM: Plégicil Clin Midy, F: gouttes (10 drops 1mg) (deleted) NM: Plegicil Medimerc, DK: s-c tabs. 10mg - mikstur (syrup) 5mg/ml NM: Noctran Menarini, F: tabs.0.75mg+7.5mg acetopromazine+10mg clorazepate di K+ NM: Mepronizine Sanofi Winthrop, F: tabs. 10mg acetopromazine+400mg meprobamate;. ;"Atypical neuroleptic agent. Sedative, antiemetic and spasmolytic properties/ minor or no extrapyramidal effects. In NL formerly promoted as ""neuroleptic calmative"". Used in the treatment of anxiety and tension at a dosage of 10 to 60 mg/day. Also as antiemetic in the management of nausea. Deleted in USA, but reintroduced for veterinary use in the treatment of porcine stress syndrome.";Brock N~Acepromazine revisited~The Canadian veterinary journal La revue veterinaire canadienne~1994~35(7)~458-9#Muir WW, 3rd, Mason DE~Effects of diazepam, acepromazine, detomidine, and xylazine on thiamylal anesthesia in horses~Journal of the American Veterinary Medical Association~1993~203(7)~1031-8;Brock N: Acepromazine revisited. Can Vet J 35/7: 458-459, 1994 - Muir WW, Masonde: Effects of diazepam, acepromazine, detomidine and xylazine on thiamylal anesthesia in horses. J Am Vet Med Assoc 23/7: 1031-1038, 1993.;;;;;;;acepromazine (acetylpromazine);;;
2;A.III.1 ;Promazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;10-[3-(dimethylamino)propyl]phenothiazine hydrochloride;. ;Promazine; has been marketed or used in ;Netherlands, Belgium, Switzerland, Italy, Greece, Finland, United Kingdom, Republic of South Africa; under the trade or premarketing names of ;Promazine, Prazine, Protactyl, Sparine, Prozyl, Promazin, Sinophenin, Talofen;NM: Promazine Pharmachemie, NL: s-c tabs. 25mg, 50mg, 100mg (deleted) NM: Prazine Wyeth Libamedi, B - Wyeth, CH: s-c tabs. 25mg, 50mg, 100mg - vials 100mg/2ml, 500mg/10ml - drops 30mg/ml (not in CH) - in CH also susp. 50mg/5ml NM: Prazine Parke Davis, ITA: tabs. 10mg, 20mg - drops 30mg/ml (range deleted) NM: Protactyl Wyeth, BRD: s-c tabs. 25mg, 50mg, 100mg - amps. 50mg/ml, 100mg/2ml - suspension 50mg/5ml NM: Sparine Wyeth, DK: s-c tabs. 25mg, 50mg NM: Sparine Wyeth, GR: s-c tabs. 25mg, 50mg - syrup 2mg/ml - vials 500mg/10ml NM: Sparine Wyeth, FIN: s-c tabs. 50mg, 100mg NM: Sparine Wyeth, UK: amps. 50mg/ml, 100mg/2ml (deleted) - oral suspension 50mg/5ml NM: Sparine Akromed, RSA: s-c tabs.25mg, 50mg - syrup 10mg/5ml - amps. 50mg/ml NM: Prozyl Vita, GR: s-c tabs. 25mg, 50mg - amps. 50mg/ml (deleted) NM: Promazin Orion, FIN: s-c tabs. 100mg - mikstuura 5mg/ml NM: Sinophenin Rodleben, BRD: f-c tabs. 25mg - drops 20mg/ml - amps. 20mg/2ml NM: Talofen Fournier-Pierrel, ITA: tabs. 25mg - sol. 4% - amps 50mg/2ml;. ;Low potency neuroleptic. DA antagonist. Extrapyramidal effects in usual dosage weak or absent. Like acepromazine also for veterinary use. Dosage 75 to 300 mg daily, occasionally up to 1g daily. Used in the management of agitation or confusional states in the elderly. High concentration of the injectable form (5%). Potentiation of analgesia. Some major metabolites are the sulfoxides, N-oxide, the 3-hydroxy derivative and N-demethylated compounds.;"Ford JM, Prozialeck WC, Hait WN~Structural features determining activity of phenothiazines and related drugs for inhibition of cell growth and reversal of multidrug resistance~Molecular pharmacology~1989~35(1)~105-15#Curry SH, Hu OY~A third, ""deep,"" compartment for phenothiazine drug disposition: a new look at an old problem~Psychopharmacol Bull~1990~26(1)~95-8#
Hu OY, Tang HS, Sheeng TY, Chen TC, Curry SH~Pharmacokinetics of promazine in patients with hepatic cirrhosis--correlation with a novel galactose single point method~Journal of pharmaceutical sciences~1995~84(1)~111-4
";"Ford JM, Prozialeck WC, Hait WN: Structural features determining activity of phenothiazines and related drugs for inhibition of cell growth and reversal of multidrug resistance. Mol Pharmacol 35: 105-115, 1989 - Curry SH, Hu OYP: A third, ""deep"", compartment for phenothiazine drug disposition: a new look at an old problem. Psychopharmacol Bull 26(1): 95-98, 1990 -Tang HS, Sheeng TY & al: Pharmacokinetics of promazine in patients with hepatic cirrhosis-correltaion with a novel galactose single-point method. J Pharm Sci 84/1: 111-114, 1995.";;;;;;;promazine (WY 1094);;;
3;A.III.1 ;Chlorpromazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;2-chloro-10-(3-dimethylaminopropyl)phenothiazine;. ;Chlorpromazine; has been marketed or used in ;Netherlands, Belgium, Switzerland, Greece, Denmark, Norway, Iceland, Italy, Spain, Republic of South Africa, Finland, Portugal, Austria, Sweden, Germany, United States of America; under the trade or premarketing names of ;Largactil, Largatrex, Ancholactil, Biscasil, Chlorazin, Chlorpromazin, Hibanil, Hibernal, Klorproman, Megaphen, Nevropromazine, Propaphenin, Prozil, Prozin, Repazine, Solidon, Thorazine, Zuledin;NM: Largactil Rhône-Poulenc Rorer, NL: tabs. 25mg, 100mg (deleted) - amps. 25mg/5ml - B: tabs. 25mg, 100mg - drops 4% - CH, GR: tabs. 25mg, 100mg - amps. 25mg/5ml drops 4% (1 drop 1mg) - Spécia(RPR), F:tabs.100mg(deleted)-amps. 25mg/5ml-goutt.buvables 4% (1drop 1mg) NM: Largactil Rhône-Poulenc Rorer, UK: f-c tabs. 10mg, 25mg, 50mg, 100mg - amps. 50mg/2ml - syrup 5mg/ml - suppos. 100mg (deleted) - suspension forte 100mg/5ml (embonate) - DK, NOR, ICL: tabs. 10mg, 25mg, 50mg, 100mg - amps. 50mg/2ml (not in DK, ICL) - syrup 10mg/ml (not in DK) - ITA, ESP: tabs. 25mg, 100mg - drops 4% - amps. 50mg/2ml (also 25mg/5ml in ESP) - RSA: tabs. 10mg, 25mg, 100mg - syrup 5mg/ml - amps. 25mg/1ml, 50mg/2ml NM: Largactil Rhône-Poulenc Rorer, FIN, ESP, ITA, PORT: tabs. 25mg, 100mg (in FIN and ESP also mixt. 20mg/ml) NM: Largactil Gerot, A: f-c tabs. 25mg, 100mg- amps. 25mg/5ml-drops 4% NM: Largatrex Vitoria, PORT: tabs. 25mg, 100mg (combination product) NM: Ancholactil Antiviotiki, GR: tabs. 25mg, 100mg NM: Biscasil Leontik, GR: tabs. 100mg NM: Chlorazin Streuli, CH: tabs. 25mg, 100mg - drops 25mg/ml - suppos. 25mg, 100mg - amps. 25mg/5ml (i.m.) and 50mg/2ml (i.v.) NM: Chlorpromazin Dumex, NOR: tabs. 10mg, 25mg, 50mg and 100mg - mikstur (syrup) 20mg/ml NM: Hibanil Kabi Pharmacia, NOR: tabs. 10mg, 25mg, 50mg, 100mg - mikstur (syrup) 10mg/ml - amps. 50mg/2ml (range deleted) NM: Hibernal Rhône-Poulenc Rorer, SWE: tabs. 10mg, 25mg, 50mg, 100mg - amps. 50mg/2ml - embonat mixtur 10mg/ml - depot caps. (sust.-release caps.) 75mg, 150mg NM: Klorproman Orion Farmos, FIN: s-c tabs. 25mg, 50mg, 100mg, 200mg - mikstuura 20mg per ml (embonate) - amps. 50mg/2ml (deleted) NM: Megaphen Bayer, BRD: s-c tabs. 25mg - drops 4% - amps. 50mg/2ml (deleted) NM: Nevropromazine Proel, GR: tabs. 25mg, 100mg - amps. 25mg/5ml NM: Propaphenin Rodleben, BRD: f-c tabs. 25mg - drops 20mg/ml - amps. 50mg/2ml NM: Prozil Dumex, DK: tabs. 10mg, 25mg, 50mg, 100mg - saft (syrup) 7mg/ml - amps. 25mg/ml and 50mg/2ml - suppositories 100mg (range deleted) - Dumex, ICL: syrup 7mg/ml NM: Prozin Lusofarmaco, ITA: tabs. 25mg, 100mg - drops 4 % NM: Repazine Lennon, RSA: amps. 25mg/1ml, 50mg/2ml NM: Solidon Adelco, GR: tabs. 25mg, 100mg - drops 4% - amps. 25mg/5ml NM: Thorazine SmithKline Beecham, USA: tabs. 10mg, 25mg, 50mg - amps. 25mg/ml - vials 250mg/10ml - suppos. 25mg, 100mg - syrup 2mg/ml NM: Zuledin Demo, GR: tabs. 25mg, 50mg, 100mg - amps. 25mg/5ml;. ;The first neuroleptic described. D /D receptors antagonist. High affinity for 5-HT and 5-HT 2 1 6 7 receptors. For the symptomatic treatment of psychoses and manic states. Management of behavioral disturbances with excessive motor activity. Adjunct in the treatment of anxiety. Control of nausea and vomiting. Used for the relief of intractable hiccups. Premedication in surgery. Active metabolites. Terminal plasma T½ after single oral dose about 17 hrs, in steady state approx.30 hrs.;"Roth BL, Craigo SC, Choudhary MS, Uluer A, Monsma FJ, Jr., Shen Y, et al.~Binding of typical and atypical antipsychotic agents to 5-hydroxytryptamine-6 and 5-hydroxytryptamine-7 receptors~The Journal of pharmacology and experimental therapeutics~1994~268(3)~1403-10#Rasheed A, Javed MA, Nazir S, Khawaja O~Interaction of chlorpromazine with tricyclic anti-depressants in schizophrenic patients~JPMA The Journal of the Pakistan Medical Association~1994~44(10)~233-4#
Lenzi A, Marazziti D, Raffaelli S, Cassano GB~Effectiveness of the combination verapamil and chlorpromazine in the treatment of severe manic or mixed patients~Progress in neuro-psychopharmacology & biological psychiatry~1995~19(3)~519-28
";Roth BL, Craigo SC, Choudhary MS & al: Binding of typical and atypical antipsychotic agents to 5- hydroxytryptamine-6 and 5-hydroxytryptamine-7 receptors. J Pharmacol Exp Ther 268/3: 1403-1410, 1994 - Rasheed A, Javed MA, Nazir S, Khawaja O: Interaction of chlorpromazine with tricyclic antidepressants in schizophrenic patients. J Pak Med Assoc 44/10: 233-234, 1994 - Lenzi A, Marazziti D, Raffaelli S, Cassano GB: Effectiveness of the combination verapamil and chlorpromazine in the treatment of severe manic or mixed patients. Prog Neuro-Psychopharmacol & Biol Psychiat 19: 519-528, 1995.;;;;;;;chlorpromazine (4560 RP);;;
4;A.III.1 ;Etymemazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;2-ethyl-10-[3-(dimethylamino)-2-methylpropyl] phenothiazine hydrochloride;. ;Etymemazine; has been marketed or used in ;France; under the trade or premarketing names of ;Sergétyl, Nuital;NM: Sergétyl (deleted) Vaillant-Defresne, F: tabs. 10mg NM: Nuital (deleted) Vaillant-Defresne, F: tabs. 5mg;. ;Atypical neuroleptic with analgesic properties. Minor extrapyramidal effects. Has been used in the treatment of severe pain, anxiety and agitation. Dosage about 40 mg daily. Insomnia at low doses reported.;; ;;;;;;;etymemazine (étymémazine, 6484 RP, ethylisobutrazine);;;
5;A.III.1 ;Methotrimeprazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;L-10-[3-(dimethylamino)-2-methylpropyl]-2-methoxyphenothiazine;. ;Methotrimeprazine; has been marketed or used in ;Denmark, Iceland, Finland, Netherlands, Austria, FranceNorway, United Kingdom, Sweden, Italy, Portugal, Germany, United States of America, Spain; under the trade or premarketing names of ;Nozinan, Nozinan Nozinan, Nozinan faible, Neurocil, Levoprome, Levozin, Sinogan, Tisercin, Veractil, Veractil;NM: Nozinan Rhône-Poulenc Rorer, DK, ICL: tabs. 5mg, 25mg, 100mg - amps. 25mg/ml (deleted) - vials 250mg/10ml (deleted) - mikstur 1% (not in ICL) NM: Nozinan FIN: tabs. 5mg, 25mg, 50mg, 100mg - mikstuura embonate 10mg/ml - amps. 25mg/ml NM: Nozinan Rhône-Poulenc Rorer, NL, B, CH - Gerot, A: f-c tabs. 25mg and 100mg - drops 4% -amps. 25mg/ml - NL, CH: Minozinan tabs. 2mg NM: Nozinan Spécia (RPR), F: tabs. 25mg and 100mg - tabs. 2mg (Nozinan faible) - amps. 25mg/ml - gouttes buvables 4% (1 drop 1 mg) NM: Nozinan Specia, GR: tabs. 25mg - amps. 25mg/ml NM: Nozinan Pharmacia, NOR: tabs. 5mg, 25mg, 100mg - mixtur 5mg/ml - amps.25mg/ml NM: Nozinan Rhône-Poulenc Rorer, UK: tabs. 25mg - amps. 25mg/ml NM: Nozinan SWE: (Rhône-Poulenc) tabs. 2½mg, 5mg, 25mg and 100mg - mixtur (embonate) 5mg/ml - amps. 25mg/ml NM: Nozinan Rhône-Poulenc Rorer, ITA: tabs. 25mg, 100mg NM: Nozinan Vitoria, PORT: tabs. 25mg, 100mg - drops 4% NM: Neurocil Bayer, BRD: tabs. 25mg, 100mg - drops 4% - amps. 25mg/ml NM: Levoprome Lederle, USA: amps. and vials 20mg/ml NM: Levozin Orion, FIN: tabs. 5mg, 25mg, 50mg and 100mg - amps. 25mg/ml - mikstuura 5mg/ml (as embonate) NM: Sinogan RPR, ESP: tabs. 25mg, 100mg - sol. 4% - amps.25mg/ml NM: Tisercin Thiemann, BRD: f-c tabs. 25mg - amps. 25mg/ml NM: Veractil RPR, UK: tabs. 25mg (for amps. see Nozinan, RPR, UK) (deleted) NM: Veractil Rhône-Poulenc Rorer, NOR: tabs. 5mg, 25mg, 50mg, 100mg – mikstur (syrup) 10mg/ml;. ;Levo-isomer. Pronounced sedative properties. Used in the management of psychomotor agitation, aggressive behavior, confusional states. Combined with antidepressants in agitated depressions. Also as premedication in surgery and for the relief of pain/ in USA almost exclusively for analgesia. Main neuroleptic active metabolites are N-demethyl-methotrimeprazine and its sulfoxides. Terminal plasma half-life after multiple oral administration 16 to 78 hours.;"Bagli M, Hoflich G, Rao ML, Langer M, Baumann P, Kolbinger M, et al.~Bioequivalence and absolute bioavailability of oblong and coated levomepromazine tablets in CYP2D6 phenotyped subjects~International journal of clinical pharmacology and therapeutics~1995~33(12)~646-52#Hals PA, Dahl SG~Metabolism of levomepromazine in man~European journal of drug metabolism and pharmacokinetics~1995~20(1)~61-71#
Bagli M, Hoflich G, Rao ML, Langer M, Baumann P, Kolbinger M, et al.~Bioequivalence and absolute bioavailability of oblong and coated levomepromazine tablets in CYP2D6 phenotyped subjects~International journal of clinical pharmacology and therapeutics~1995~33(12)~646-52
";Bagli M, Rao ML, Höflich G: Quantification of chlorprothixene, levopromazine and promethazine in human serum using high-performance liquid chromatography with coulometric electrochemical detection. J Chromatogr B Biomed Appl 657/1: 141-148, 1994 - Hals PA, Dahl SG: Metabolism of levopromazine in man. Eur J Drug Metab Pharmacokinet 20/1: 61-71, 1995 - Bagli M, Rao ML, Höflich G: Bioequivalence and absolute bioavailibility of oblong and coated levomepromazine tablets in CYP2D6 phenotyped subjects. Int J Clin Pharmacol Ther 33/12: 646-652, 1995.;;;;;;;methotrimeprazine (levomepromazine, 7044 RP);;;
6;A.III.1;Cyamemazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;10-[3-(dimethylamino)-2-methylpropyl] phenothiazine-2- carbonitrile;. ;Cyamemazine; has been marketed or used in ;France, Portugal; under the trade or premarketing names of ;Tercian;NM: Tercian Spécia (RPR), F: f-c tabs. 25mg, 100mg - gouttes 4% (1 drop 1mg) - amps. 50mg/5ml NM: Tercian Vitoria, PORT: tabs. 100mg - drops 4%;. ;Major sedative neuroleptic. Dosage 50 up to 600 mg daily. At low dosage in the treatment of insomnia and anxiety states. Plasma half-life about 10 hours.;WHO Drug Information~Cyamemazine~~1988~2(3)~158;Cyamemazine. WHO Drug Information vol 2(3): 158, 1988 - Remy AJ, Larrey D, Pageaux GP & al: Cross hepatotoxicity between tricyclic antidepressants and phenothiazines. Eur J Gastroenterol Hepatol 7/4: 373- 376, 1995.;;;;;;;cyamemazine (cyamepromazine, 7204 RP);;;
7;A.III.1 ;Methopromazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;10-[3-(dimethylamino)propyl]-2-methoxy phenothiazine;. ;Methopromazine; has been marketed or used in ;United States of America, France; under the trade or premarketing names of ;Tentone, CL 22.373, 4362 RP;NM: Tentone Lederle, USA (deleted) NM: CL 22.373 Lederle NM: 4362 RP Rhône-Poulenc Rorer, F;. ;Atypical neuroleptic agent. In comparison to chlorpromazine lower neuroleptic potency. Anticholinergic effects. Formerly used in the management of psychomotor disturbances. Dosage 25-100mg/day, incidentally much higher.;;;;;;;;;methopromazine (methoxypromazine);;;
8;A.III.1 ;Triflupromazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;10-(3-dimethylaminopropyl)-2-(trifluoromethyl) phenothiazine;. ;Triflupromazine; has been marketed or used in ;Netherlands, Belgium, Austria, Germany; under the trade or premarketing names of ;Siquil, Psyquil, Psyqui, Psyquil Compositum, Vesprin;NM: Siquil Bristol Myers Squibb, NL: tabs. 10mg, 25mg - vials 100mg/10ml (deleted) - B: vials 100mg/10ml (deleted) NM: Psyquil Bristol Myers Squibb, A - Sanofi Winthrop, BRD: s-c tabs. 10mg (not in BRD), 25mg, 50mg (not in A) - amps. 10mg/ml, 20mg/ml - suppos. 70mg (not in A) NM: Psyquil Squibb, CH: amps. 10mg/ml (deleted) NM: Psyquil Compositum B.M.S., BRD: amps. of 2ml containing 20mg triflupromazine + 50mg pethidine (deleted) NM: Vesprin Squibb, USA: tabs. 10mg, 25mg, 50mg - amps. 10mg/ml and 20mg/ml - also vials 100mg/10ml - high potency suspension 50mg/5ml;. ;Used in the symptomatic treatment of psychotic disorders. Studied for the control of severe nausea and vomiting. In BRD also as premedication in surgery. Dosage in clinical treatment 75 - 150 mg daily. Doses over 800 mg/day reported.;Gowda A~Determination of triflupromazine (TFH) and trifluperazine hydrochloride (TPH) in pharmaceutical preparations~Indian J Pharm Sci~1984~46(220-2)~;Gowda A: Determination of triflupromazine (TFH) and trifluperazine hydrochloride (TPH) in pharmaceutical preparations. Indian J Pharm Sci 46: 220-222, 1984 - Zivin J, Kochhar A, Saitoh T: Phenothiazines reduce ischemic damage to the central nervous system. Brain Research 482: 189-193, 1989.;;;;;;;triflupromazine;;;
9;A.III.1 ;Aminopromazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;aliphatic side chain; and a ;full chemical formula of ;10-[2,3-bis(dimethylamino) propyl]phenothiazine fumarate (Ebutenedioate);. ;Aminopromazine; has been marketed or used in ;France; under the trade or premarketing names of ;Lispamol;NM: Lispamol Specia, F: (deleted);. ;Neuroleptic activity weak or absent/ marked anticholinergic properties. Has been used as spasmolytic agent in the treatment of colitis, obstipation and dysmenorrhea.;;;;;;;;;aminopromazine (3828 RP);;;
10;A.III.2 ;Propiomazine;is in the ;phenothiazine; category of antipsychotic.;It has a;n addional ;antihistaminic properties; and a ;full chemical formula of ;1-[10-[2-(dimethylamino)propyl]phenothiazin-2-yl]-1-propanone maleate;. ;Propiomazine; has been marketed or used in ;United States of America, Belgium, France, Sweden; under the trade or premarketing names of ;Largon, Dorevane, Propavan, WY 1359;NM: Largon Wyeth, USA (deleted) NM: Dorevane Clin Byla, (formerly in B and F) NM: Propavan Sanofi Winthrop, SWE: tabs. 25mg NM: WY 1359 Wyeth, USA;. ;Antihistamine with sedative, hypnotic and analgesic properties.Studied as a sleep-inducing agent in the elderly. Not identical with the more specific sedating isomer propiopromazine (Combelen). -Plasma half-life about 8 hours.;Almqvist M, Liljenberg B, Hetta J, Rimon R, Hambert G, Roos BE~Effects of propiomazine on the EEG sleep of normal subjects~Pharmacology & toxicology~1987~61(5)~278-81#Roslund K, Olsen I~A clinical trial of propiomazine and placebo in the treatment of insomnia in the elderly~Current therapeutic research~1987~41(1)~6-12;Almqvist M, Liljenberg B, Hetta J, et al: Effects of propiomazine on the EEG sleep of normal subjects. Pharmacol Toxicol 61: 278-284, 1987 - Roslund K, Olsen I: A clinical trial of propiomazine and placebo in the treatment of insomnia in the elderly. Curr Ther Res 41: 6-12, 1987.;;;;;;;propiomazine (CB 1678);;;
